Start date, 2017-07-16
End date, 2017-09-23
Total requests, 12666
Total unique devices, 560
Total sessions, 2711
Average response time, 0.67ms

Language, DeviceCount, Percentage
spa, 5, 0.9%
chs, 97, 17.3%
eng, 386, 68.9%
cht, 72, 12.9%

Date, Unique devices, Sessions, Requests
1FBDCD8E-3293-4A5B-8E73-6EC0ACD9CA4E, eng, 2017-09-23 09:03:07, 1
B2683FA4-AFA1-421C-9F8D-CAA22B79B6D8, eng, 2017-08-20 11:54:34, 34
B30D1FB1-B2F4-4F60-80D8-CFBD46BC0CEB, cht, 2017-09-03 09:51:11, 21
D1ACD362-A914-4564-863E-728676EE60F0, eng, 2017-08-21 17:13:00, 33
23E95A91-920D-4845-89E9-BE99EC1028FD, eng, 2017-08-21 17:13:59, 33
f0a5af8b-2695-49e9-8bfb-9ad3d1841da7, eng, 2017-09-18 18:02:38, 5
524C61D9-39B7-4021-906B-BD5AB5554A23, chs, 2017-08-21 19:21:50, 33
A27D74CA-7E9F-42EE-8DEF-EA5C4DFB2450, eng, 2017-09-12 11:01:15, 11
E3F1FDFA-35C2-4F41-B560-DCC62A9BD69C, cht, 2017-08-21 20:23:11, 33
b97e21ae-2782-4f92-acce-f9a031c5ec5e, eng, 2017-08-25 09:30:09, 30
c437ef80-59e1-4b49-9aba-5d15478ff473, eng, 2017-08-21 21:13:24, 33
AA0E7002-B7F2-48B5-9DB8-85614C54F17C, cht, 2017-09-21 01:47:19, 3
060a11d5-0597-4ebf-b4af-0c7fee218191, eng, 2017-08-31 18:41:59, 23
A0BAEF23-A4BE-4F7D-A512-3CCFF00E56FF, eng, 2017-09-16 07:40:07, 8
ff489bc3-e21e-4717-a940-010e64d61330, eng, 2017-08-22 21:38:30, 32
861B6DC1-8998-4776-9AD5-2F333F2800E6, chs, 2017-08-22 21:52:22, 32
10b9a166-17cf-4c98-aa9f-02faa8f778c7, eng, 2017-09-03 12:07:14, 20
f3f6d56e-c681-488f-8e7f-35b8f14f2e81, eng, 2017-08-23 13:01:34, 31
1d7c7714-2707-4c08-b8a4-853a29e84347, eng, 2017-08-30 10:50:55, 24
